corresponding_gene_call	D100_OUT	D11_OUT	D17_OUT	D26_OUT	D27_OUT	D2_OUT	D32_OUT	D34_OUT	D36_OUT	D40_OUT	D42_OUT	D60_OUT	D65_OUT	D71_OUT	D7_OUT	D85_OUT	D87_OUT	D88_OUT	D92_OUT
22282		0.0011745119449352625	0.00017081070392929655	0.00029896553220080035		0.001421989042991058			0.00030692078640361423								0.001446719136472274		0.002417813536151006
22283																			
22284																			
22285		0.00033947370909484227	3.187565671964839e-05	0.00015102495125266454		0.0002914763453543411	0.0003081813506016093	4.162521489017216e-06	0.0003102199173770905								0.0006203912369767106		0.0006939406755938161
22286		0.0003168340461703524	0.0005560860206179385	0.0003165080207320072		0.0005460060289366883	0.0010203932500939532	2.4321545003368864e-05	0.0003299764116272244							0.0003207590432023735	0.000370315801519694		0.0008835062320250048
22287		0.00285359187632986	0.0016268127609086077	0.0001902222359542411		0.0026789195632426935			0.0026893626966422407								0.002162030148028042		0.0037188960083858885
22288									0.0003309809685289756								0.0019052087608911945		
22289																	0.0015502448782032494		
22290																			
22291									2.0478885653463497e-05								0.000312108464762318		
22292		0.00022034031621900258	7.352254975738299e-05	0.0004473778410520022		0.00022511540298392226			0.0005951821800144012								0.000721425825523929		0.0003842320074354445
22293						0.0010069817400644475			0.0014794648680919334								0.0014066880544721233		
22294		0.0005921621729832642				0.0006541706437441249			0.00081257383718579										
22295																			
22296						0.0009594632209669476			0.0017329494609226144								0.0005305009528350028		0.0003470516218551725
22297									0.00025847158453099595								0.0022784319713295537		
22298																			
51997	0.0002676524473340738	0.0018531055892374714	0.0010699383156674259	0.0002875117204385499	0.00023402705786819598	0.0014447131444082673			0.002352413718167969	0.00016457092871325024							0.0017255860264751217		0.002752011365262523
51998		0.0010844481912006634	0.0006928574097330405			0.0010495868102290353			0.00039901172142728066								0.0018515299443219485		0.0021508759676934037
51999	0.0010340062584406088	0.0013688905800582018	0.0014537971090743582	0.0013631230293435		0.0027467539238279054	0.003578948011820204	0.0009392468714640357	0.0010753022055581744						0.001561515103378682		0.003226243738771014		0.00400142818708349
52000																			
52001		0.0005431646010801189	0.0005612596818637997	0.00047893289426571557		0.0006177263439930778			0.0007235022909920264								0.0011192841776679415		6.828618043089776e-05
52002		0.0008306587528508692	0.00031221325064426754			0.0006008006867692476			0.0008937443680544597								0.00048816521030923014		0.0012060636218670505
52003		0.003418064209980514	0.0029445647654559514	0.0043468255992966205		0.003709811088656515	0.004363571320229085	0.0027570891613165898	0.0034572547551660012								0.0022620608921102596		
52004																			
52005		0.0018799574817285735	0.00047547885422525123	0.00293535076656337		0.002541973252475155	0.004674007179638823	0.0003136433208898317	0.003091279005029571								0.003533992955480906		0.005232860825489342
52006																			
52007									0.0006795594463498021	0.0035897250028050177			0.0077535058144141125	0.0030479695421395925					
52008		0.00018511702878270988							0.0013188882597822758								0.0020533970881393775		
52009		0.0007473806416617481	0.001910351416636846			0.0014470006529096083			0.0007134679410534966								0.0006069545931998069		0.0006084558889741358
52010		0.0010940675893110962	0.002177853904692103	0.003220400119648796		0.002436485440164509			0.0017289090617733586								0.001704822074511703		0.0014314688688778227
52011																			
52012		0.0005927186163402561	6.04113114033123e-05	0.001844390568343657		0.001390820955001622		0.0007180339789035416	0.000885670120535691								0.00018718088246762326		0.0004649758573487936
52013		0.0025709657578438226	0.0005844803497639689	0.0009563602812011974		0.0015338873989905319		0.0004022394607537995	0.0016257813664427015								0.0006296088981730372		0.0020532162512987453
52014		0.0010217116822759107	0.0019576839775204344	0.0022025524881985137		0.0014188940557368275			0.0005748614318995584								0.0008086347401366023		0.000624922753676924
52015		0.0019880498417538233		0.0015406528480249547					0.0009475996028636076						0.0024915898550848764				
52016		0.0011415964858310027	0.0005587622804285055	0.000535176601656373		0.0004231060631457544		0.0008431082884888238	0.001175939471747485								0.0003459741713228332		0.0002933850556504305
52017		0.0012275692466151718	0.00028415242999385045	0.0005867840344150044		0.000226017838624401	2.8216185394861313e-05	0.0003572658419807968	0.0006649862320320369								0.0005632469131854543		0.0004610798508118661
52018		0.00852205311519554		0.001430626598465474		0.006946179920175712			0.00537685736265287								0.0033283099469094183		0.004367044366246283
52019		0.006554987524772076																	
52020		0.0022135222363327788							0.001328289742050751										
71429																			
71430		0.0010244304949759344	0.000195509007983019	0.0008189808693580794		0.0014050188083861257		8.702917217851378e-06	0.002289459769098126			0.0003444433794987283					0.0009621126551603675		0.001499295975681572
71431		0.0002518672677808748				0.0008197912600517983			0.0007782721269905485										5.17561574604979e-05
71432		0.0014013024640315353	0.002845895503359065	0.001280940861975626		0.0023963661296040125			0.0027100233869675507								0.0003253868520050468		
71433		0.0004781063696527572	0.00043077457964172777			0.000516104306374569			0.0038393270695882176								0.0017065067022301503		0.0012025421019401165
71434		0.0026682983919993613				0.0029693123118073716			0.0016135013512422049								0.0006260611408476357		
71435		0.0016727626674724982				0.0013744987031775128			0.002340976564796276										
71436						0.0007905122172251773			0.005723182495804953								0.0009454354704148437		
71437		0.004390433542824647		0.00195655170082356		0.0029735472915061356			0.007547295171432082								0.0007873909919143256		0.0029646829222571237
71438		0.001314196667378377																	
74891		0.003929634399510188				0.0029350455228149674			0.002465845629250071										
74892		0.0002242509810914489	0.000776963357766036	0.0008561849638489966		0.0013287805272572382			0.0007175327793852853										0.0011381038946730567
74893		0.0006296909533512354		0.0018965535021925794		0.0024668864050002757			0.002812800686775577								0.0013836963353986965		0.0004821377147098831
74894				0.0011321167270168812		0.0019079735973794557			0.002980642642686034								0.0014057028758358689		
74895									0.00010850687711177704										
74896									0.0016645281597312362										
74897									0.0006465144398774705								0.001229457614654109		
74898		0.0016724761819784043	0.0031389042741880534			0.0010294235069328063			0.008014029362729984								0.0018571084495384806		0.0006424491836113659
74899		0.0010572876683861998		0.0009896683721855666		0.001448760744668963			0.0013444765561889064								0.0019144826736355695		0.00033771682899070345
74900	0.009133895537893162	0.006574918247342757	0.012215996864685092	0.00472485869998039	0.0071222944074593765	0.008032996903428801				0.006187206635057526					0.00550980261364349				0.01146875417454002
87484																			
87485	0.0007868041183498028	0.0016354349714214481	0.0012450001037630182	0.0007990405001210888	0.000868081666525571	0.001706706461471668	0.00013856498682763383	0.00010037854339729166	0.0029711044444045067	0.0006340470151580859	0.0006367904025036991	0.0009794927553999923		0.00024198434025026743	0.0008104148992046241	0.001077037527671221	0.002123325980238498	0.001013296320951842	0.0020381580286575906
113732		0.0010152244049035182		0.0009381116598688266		0.0029779976601157325	0.00030229068351925376		0.0035581120603926657								0.0018925965684959537		0.0008016690072553074
113733									0.0009022591247989994								9.175249648148177e-05		
113734		0.00048764040945503836				0.000331257351611031	1.1447235874110925e-05		0.00103281598328492								0.0011331832546407814		0.0006230132798741787
113735		0.002412899614232948				0.002325665361638126			0.0029001048284001798										
113736									0.0019854187464791537								0.00034513424428808654		
113738																			
113739																			
113740																			
113741		4.02602519284013e-05	1.1239237855379215e-05			0.0001845238530384453			0.0007692221152185816										4.38462322830632e-05
113742									0.0012617915106896526										
129051		0.0028579773638124787	0.0014963163908898259	0.0007384668142301106		0.0016493351619719509			0.003964020052545992								0.0018638910876872165		0.00129877946279595
129052		0.002700595519468899		0.003383812918248012		0.0016049635101177413	0.00015339207457434016		0.0031410037151950072								0.0023367775170884905		0.00222291445882148
129053		0.0013746279177783874	0.00021298858417508873	0.0003693630871011687		0.00057920852434647	1.2990555865885454e-05	0.0003954800850213268	0.0007563004995421091					0.00023096867114193265			0.0013955402095034545		0.0024630643315137614
129054			0.0001523308047798974						0.00047496109053887006								0.001794378489457786		0.0017592642119287154
129055																			
129056		0.004984810334152405	0.00028375435436876816	0.0007621917316111999		0.0015457971712194904		0.0002695655582425794	0.0024054859552332737								0.0013701981556262415		0.0032445047975455453
129057		0.0008151943552510942		0.00044046874125956465					0.00019978731403419968								0.0017865396042148654		0.00167332433636977
129058		0.003213374980173857				0.000801382209540623			0.0012981074776288043								0.0029928156435891917		0.0021188916866693545
129059		0.0013912668725916564	0.00012954481070671895	0.000653023303456732		0.00020935276027678434	0.00020065037860768993		0.00047316885972446067								0.0026694899855282395		0.001700784885780922
129060		0.0024100948967421968	0.0020947705746823257			0.001633105244320331			0.0007779758557441949								0.005085811781575341		0.003156916843100716
129061																	0.0024705763025772614		
129062		0.0002857783208197589															5.0348037182848854e-05		
129063		0.003892349469567706	0.0002659413125722303	0.0005994503634641436		0.002527069851315057			0.0018543285857839144								0.0014380260707693127		0.0018396245588358315
129064		0.001836980616618668	0.0014129920134627158	0.0023053115621855186		0.0007419393184923099		0.0009999712509062145	0.0008572541751530836								0.000986830479879763		0.0009631663365734255
129065		0.0031720291855415906	0.0038801342544214443	0.006635245566579115		0.0014473289486097573		0.007484621828329541	0.0024855427485500144										0.002099470930038553
250475																			
250476	0.0017817353331890703	0.003320929045367467	0.0017141351369315857	0.0012222254555265136	0.0016961995384925728	0.0006887042054581277	0.0012466698834253357	0.0012774352319270118	0.0011576132043887768	0.00044324863351139					0.0017743342249411755	0.0002794596927462102	0.0009815058524184086	0.00039740250875695105	0.0005431977641456312
250477		0.001132054243224555							0.0017682225273338852								0.0004707991059494657		
250478		0.0009432812581898016	0.0004071218995586606	0.0009280421820094655		0.0012827467363778137			0.0016958894766271513								0.0009108355290239054		0.0005490026464027728
250479		0.002681354377248251	0.007470185934986159	0.0035044154214788226					0.0010374562158587102										
250480		0.0007316479456019655							0.0009397407535573062								0.0009110374234930222		
250481		0.0008038834434757499		8.506908377437578e-05		0.0002521610425180688	0.0006613722730583979		0.00045751567277380886								0.0011376442792301864		0.000552627776377533
250482																			
250483																			
258806		0.0031154103632032876	0.003942247929588541	0.001319845276720632		0.0015606057409346258			0.0021639963372280693								0.0008079290654790075		0.0016649095762617948
258807																	0.006914133541263948		
258808																			
258809		0.0012668920153697501	0.0007070216636776136			0.002993575078105439			0.0036273258580257766								0.002745871049375308		0.007330609383255927
258810		0.0010604749542297161	0.0005738287704434611	0.0005288054106943015		0.0016920676978791137			0.0010097322589192631								0.0006945111314439085		0.003935691082923394
258811		2.897939179517892e-05				0.000621168769206603			0.00031959543023322995								0.00097662106827684		0.00015736573149683584
258812		0.0002453012560155769	0.00043120418463892337			0.001761399776965913			0.0008325729199897664								0.0006110201217860011		0.004706790778712338
258813	0.0022658635655460235	0.0009685107109222778		0.0015907977296628437	0.0017591037255331587	0.0005294745524270285	0.0030472425981614387		0.00047178304301369084	0.0013171392078786621					0.0030912917955453305		0.0011600263466300053		
258814																	0.0003801951433569765		
258815		0.003988119861635107	0.0013606469156062135	0.002366403910924539		0.00593446691448073			0.0065703009811985255								0.003812854995975099		0.013133828280306011
258816																			
258817		0.0005942152601550058	0.00038186770461031344	0.002931853546122892		0.0006339130016944166			0.0028360541000001945								0.0011762365014827752		0.0033356825999336097
258818									0.0029445414168828635										
258819									0.004447842974058505										0.005480855138779885
258821																	0.0009194317281862634		
258822						0.005410713743838984			0.0015880322289348998										0.005451106536354646
258823		0.0021301965717956117	0.0023164548873232022	0.0023689626052178702		0.004041419114572649	0.004299771013175811	0.003138308454994082	0.003890155229168153								0.0009756330568167586		0.0057677022798683746
258824		0.0005594040503466647	0.00051405634980812	0.0006083468636921978		0.0003946800400354458	0.0012012728530972961	0.00018179710728253144	0.0007873571071206755								0.00038428364823025205		0.0012217902200469298
258825		0.003182003915229492		0.0014578639275059655		0.002203182907039762	0.0011389319899958229		0.0027068866013487914								0.0008613072394988287		0.0022917874917846894
258826		0.007736430137713533	0.0015352886910856914	0.0005624583702478795		0.0007002645763572945			0.003912346892426508								0.0014791399957330036		0.0006116922183901723
258827		0.006778700709030515		0.0025752516849788746					0.006366602160499465								0.0017191002734655689		
258828		9.30710915808134e-05							0.00010695562814996785										
258829		0.0012097716465480294				1.5752993068683036e-05			0.0020332036375499355										0.0
258830		0.002999509384691196	0.00019269016292116758	0.0004933239488998834		0.0005564547245719636	0.00023350982243051154		0.001959137551102751								0.0011751883282125212		0.0007983183722090849
258831		0.0016432991204431602	0.000306190284459944			0.0013877435497783252											0.0016047690763545848		
258832		0.0024819578454292916	0.0009522872437595597			0.0020792323809026											4.160837365535513e-05		
258833		0.0016270002588599489	0.00030675629703046467			0.0024277078498359493											0.0006744412125883365		0.0039916227662529676
261790		0.0027457772861228876	0.0013408832635882911	0.0002097755401720156		0.0		0.001644971459485716	0.001775644309620872								0.00031317157308346686		
261791		0.001986311098137041	0.002030085751994799					0.00041847041847041814	0.0020459365543961197										
261792																			
261793		0.00939485953562788	0.006748301536429321	0.003554796447942796		0.015982583758985557		0.004700457505099667	0.009912813701321854			0.0027518580710070044					0.003697437401903801		0.011635323839494142
262339		0.010177063056220667	0.003582726076255818	0.0029973205288649474		0.007665393776857415	0.012919130317703299	0.0046188963790737315	0.012687148622945921			0.00702304147465438		0.00804141812574699			0.012518038148126198		0.016815430272710038
262340		0.003224168369344473	0.0014184738821145545	0.0017441430495879523	0.0003656745648976322	0.0023390004800520506			0.003148178698697091	0.00020794479182531593			0.0014399217006150402	0.0017314161640172494	0.0007343079747431858		0.004466658044124052		0.004835029049708475
262341	7.329389517961246e-05	0.0006864121890593729	0.0005041658729829291	0.0003599989429577867		0.0008356304367946385	0.001681311623000402	0.0	0.0005497252805083926						0.000408828349757859		0.0014214088321866435		0.0014969951270450406
262342		0.0007115546638049202							0.0006534636239082987								0.00121048040069013		0.0013677362925709276
262343		0.0004111630641291572		0.0002565776791679594		0.0013637959169194842											0.000745814242521314		
296246																			
296247		0.001044510708774005				0.001511808490325499			0.0008052995396753235								0.0013880419157192324		
296248		0.002244708107918138	0.0017209829033947121	0.0022783342274432677		0.0023013834349510606		0.0020583922015930357	0.001904875148596336										0.004274075281081958
296249																			
296250		0.0003422564890099864	0.0005024014925381406						0.0013455503378302198										0.0005930620046479582
296251									0.0077793081647913355										
296252		0.00041404162933776254																	
296253									0.00035773686820971716								0.0011823957248391413		
296254		0.0015469109347210517	0.002825467868693532	0.0011899961772101478		0.0010781009417413852		0.00045227079979919785	0.0011136500700518212					0.0009323773105441181			0.0021357491133461065		0.0011936845477556353
300972																			
300973		0.0011649458586226805		0.0008219959499158623		0.0011470433666710346			0.0003879806727864557					0.0010465957415601121			0.001114891830506961		0.001637409765128314
300974		0.0021405213540740074		0.0019658141623563516		0.002369784652703674			0.0014209872366807888					0.003434697478189725			0.004987267647908715		0.0026328566751207738
300975	0.000959035754719711	0.003588715109182693	0.000678449608432786		0.0015056749994158479	0.0011928544794849753			0.0017237824571142658	0.0011236616868313793				0.0007271067491011644	0.0023402597402597406		0.002620660348885692		0.0020397661185927404
300976		0.0014284847536093534	0.000900904099165729	0.0012877340730109094		0.001926214389680919	0.0011931143648595205		0.002310216382301395								0.0008879238436335683		0.001376463247054316
300977		0.0018706918082945728	0.0009756578679629976			0.0016319649067499512			0.0018916663520708217								0.0006697631970650889		0.0014918776756562046
300978		0.0017522051296361783				0.0007719580103832475			0.0007342193533962117										0.002652083210440098
